post_num,date,title,claim,verasity,category,share,tags,url
post-172061,26 November 2018,Is Rain That Falls in Smoky Areas After a Wildfire Likely to Be “Extremely Toxic”?,Precipitation in smoky areas following a wildfire is likely to be extremely toxic.,false,science ,,,https://www.snopes.com/fact-check/rain-wildfire-toxic/
post-172161,20 November 2018,Does This Video Show Highway Traffic Near the November 2018 California Wildfire?,A dramatic video shows highway traffic along a large California wildfire in November 2018.,miscaptioned,photos ,,california-fire skirball-fire video wildfire ,https://www.snopes.com/fact-check/highway-traffic-california-wildfire/
post-172176,20 November 2018,Did an English Woman Lie Dead at Home Undiscovered for Years?,"In 2006, the skeletal remains of Joyce Carol Vincent were found in her home, with the television on, years after her death. ",true,horrors ,,,https://www.snopes.com/fact-check/woman-undiscovered-dead-home/
post-172194,20 November 2018,Was Sen. Cindy Hyde-Smith Photographed Wearing a Confederate Soldier’s Cap?,Sen. Cindy Hyde-Smith posted photographs of herself wearing a Confederate soldier's hat during a visit to the home of Jefferson Davis.,true,politics politics-race ,,,https://www.snopes.com/fact-check/cindy-hyde-smith-confederate/
post-172249,21 November 2018,Does This Picture Show the Blue Angels Performing ‘The Hand of God?’,"A picture shows the Navy's Blue Angels flight demonstration squadron performing an aerial stunt called ""The Hand of God.""",false,photos ,,blue-angels ,https://www.snopes.com/fact-check/blue-angels-hand-of-god/
post-172365,25 November 2018,Will Pressing ‘Cancel’ Twice on an ATM Prevent Your PIN from Being Stolen?,Pressing the 'CANCEL' button twice at an ATM will prevent thieves from stealing your PIN.,false,fraud ,,atms ,https://www.snopes.com/fact-check/atm-press-cancel-pin/
post-172539,25 November 2018,Was a Man in Bear Costume Arrested for Tearing Apart Tents of Black Friday Campers?,A photograph shows a man in a bear costume being arrested for tearing apart tents of Black Friday campers.,miscaptioned,photos ,,black-friday ,https://www.snopes.com/fact-check/bear-costume-black-friday/
post-172564,25 November 2018,Does This Video Show a Crazily Busy Intersection?,A video shows a busy intersection with numerous pedestrians and cyclists safely weaving through a stream of vehicular traffic.,false,photos ,,,https://www.snopes.com/fact-check/busy-intersection-video/
post-172613,26 November 2018,Did Astronaut Chris Hadfield Test the Effects of Marijuana in Space?,A photograph shows astronaut Chris Hadfield holding a bag of marijuana aboard the International Space Station. ,false,photos ,,marijuana nasa pictures-in-history ,https://www.snopes.com/fact-check/iss-test-marijuana-space/
post-172638,26 November 2018,Is Allisyn Nicole Still Missing?,A young woman named Allisyn Nicole is missing.,outdated,inboxer-rebellion ,,missing-children ,https://www.snopes.com/fact-check/is-allisyn-nicole-still-missing/
post-172640,26 November 2018,Does This Photograph Show a Black Couple Accepting a Gift from KKK Members?,Jack and Rosie Riddle were photographed in 1948 accepting a radio from a group of Ku Klux Klan members.,true,photos ,,,https://www.snopes.com/fact-check/radio-kkk-photograph/
post-172643,26 November 2018,Will Simba Be a Vegan in the ‘Lion King’ Remake?,"The character Simba will be a vegan in the 2019 remake of the Disney film ""The Lion King."" ",false,junk-news ,,8satire 8shit disney ,https://www.snopes.com/fact-check/simba-vegan-lion-king-remake/
post-172645,26 November 2018,Was the ‘Illegal Alien Mom with Kids’ Photograph Staged?,A photograph of a migrant mother and her children fleeing a tear gas attack near a border crossing was staged.,false,immigration politics ,,gateway-pundit honduran-caravan ,https://www.snopes.com/fact-check/mom-tear-gas-photo/
post-172659,28 November 2018,Is Europe Governed by “Childless Baby Boomers”?,Most leaders of European countries do not have children.,mostly-false,politics ,,,https://www.snopes.com/fact-check/europe-childless-leaders/
post-172811,27 November 2018,Did the Obama Administration Use Tear Gas Once a Month at the Border?,Customs and Border Protection agents used tear gas at a rate of about once a month during the presidency of Barack Obama.,mostly-true,immigration politics ,,,https://www.snopes.com/fact-check/obama-tear-gas-border-migrants/
post-172816,27 November 2018,Did Michelle Obama’s Book Sell More Copies in One Week Than Donald Trump’s Did in 32 Years?,"Michelle Obama's book ""Becoming"" sold more copies in its first week than Donald Trump's ""The Art of the Deal"" did in 32 years. ",unproven,politicians politics ,,donald-trump michelle-obama ,https://www.snopes.com/fact-check/michelle-obama-donald-trump-book/
post-172855,27 November 2018,Is This a Genuine Photograph of President Trump Boarding Marine One?,A photograph shows President Trump boarding Marine One.,mostly-false,photos ,,donald-trump ,https://www.snopes.com/fact-check/trump-marine-one-photo/
post-172864,27 November 2018,Did Barack Obama Say Becoming Donald Trump Was the American Dream?,Barack Obama once wrote that becoming Donald Trump was the American dream.,mixture,politicians politics ,,barack-obama donald-trump ,https://www.snopes.com/fact-check/obama-trump-american-dream/
post-172872,27 November 2018,Terminally Ill Teen Requests Christmas Cards for the Holiday,"Fourteen-year-old, terminally ill cancer patient Maddox Hyde has asked that people send him Christmas cards for the holiday.",true,inboxer-rebellion ,,christmas ,https://www.snopes.com/fact-check/christmas-cards-for-maddox-hyde/
post-172950,28 November 2018,Did the Trump Administration Take Land from the Tribe That Welcomed the Pilgrims?,The Trump administration reversed a previous decision to put land in trust for the Mashpee Wampanoag tribe.,mostly-true,politicians politics ,,donald-trump native-americans thanksgiving ,https://www.snopes.com/fact-check/trump-wampanoag-land/
post-172953,27 November 2018,Did Tomi Lahren Say Children Getting Tear Gassed Was the “Highlight” of Her Thanksgiving?,"Tomi Lahren said that watching children being hit with tear gas ""was the highlight” of her Thanksgiving weekend.",mixture,politics political-quotes ,,honduran-caravan ,https://www.snopes.com/fact-check/tomi-lahren-tear-gas/
post-172996,28 November 2018,Winston Churchill on Muslims and Minority Rights,"Winston Churchill once said “when Muslims are in the minority they are very concerned with minority rights, when they are in the majority there are no minority rights.”",misattributed,politics political-quotes ,,islam winston-churchill ,https://www.snopes.com/fact-check/winston-churchill-on-muslims-and-minority-rights/
post-173086,28 November 2018,Does This Photograph Show a Polar Bear Taking Public Transit in Russia?,A photograph shows a polar bear exiting a bus in Russia. ,miscaptioned,photos ,,polar-bear ,https://www.snopes.com/fact-check/polar-bear-public-transit/
post-173094,28 November 2018,Did a College Mirror Nazis by Having Students Wear ‘White Privilege’ Pins?,"Democrats at Elizabethtown College mirrored the Nazi policy of forcing Jewish people to wear the Star of David in a February 2017 campaign that had students wear ""white privilege"" pins.",mostly-false,politics politics-race ,,white-privilege ,https://www.snopes.com/fact-check/elizabethtown-college-white-privilege/
post-173099,28 November 2018,Did a College Give Students Hockey Pucks to Use Against Mass Shootings?,Students and faculty at Oakland University were given hockey pucks to use in the event of a mass shooting attack.,true,politics-guns politics ,,,https://www.snopes.com/fact-check/hockey-pucks-shooting-defense/
post-173108,28 November 2018,Did Dick Van Dyke Say ‘We Have to Stop a Man Who Wants to Be the Dictator’?,"Dick Van Dyke said of Donald Trump, ""There are millions of people who share his anger, paranoia, and his hatred ... I think we have to stop a man who wants to be the dictator.""",correct-attribution,politics political-quotes ,,dick-van-dyke donald-trump ,https://www.snopes.com/fact-check/dick-van-dyke-trump-dictator/
post-173112,28 November 2018,Does This Video Show a Walmart Without Enough Security Guards Being Looted?,A video shows customers looting a Walmart after they realized the store didn't have enough security guards. ,miscaptioned,photos ,,looting walmart ,https://www.snopes.com/fact-check/walmart-looting-video/
post-173126,28 November 2018,"Did Matthew Whitaker Say That Muslims, Jews, and Atheists Shouldn’t Be Judges?","Acting Attorney General Matthew Whitaker said that Muslims, Jews, and atheists shouldn't be judges.",mixture,politics religion-politics ,,,https://www.snopes.com/fact-check/matthew-whitaker-judges/
post-173149,28 November 2018,Did Sgt. Al Powell Stop a Terrorist Attack at Nakatomi Plaza?,Sgt. Al Powell stopped a terrorist attack at Nakatomi Plaza on Christmas in 1988.,false,photos ,,bruce-willis die-hard sgt-al-powell ,https://www.snopes.com/fact-check/al-powell-nakatomi-plaza/
post-173165,29 November 2018,Did Muslim Groups Keep Money Intended for Victims of the Pittsburgh Synagogue Shooting?,"Muslim organizations or a mosque kept most of the $238,634 raised for the victims of an October 2018 mass shooting at the Tree of Life synagogue in Pittsburgh. ",false,politics religion-politics ,,conservative-review gateway-pundit islam ,https://www.snopes.com/fact-check/tree-of-life-muslim-groups-donations-mosque/
post-173177,28 November 2018,Did FDR’s Vice-President Write an Op-Ed About ‘American Fascism’?,"While serving as U.S. Vice President, Henry A. Wallace wrote a piece warning Americans about the dangers of fascism.",correct-attribution,history ,,fascism ,https://www.snopes.com/fact-check/wallace-american-fascism/
post-173191,28 November 2018,Does This Vet Need Help in Finding Survivors of His Air Force Bomb Group?,A photograph shows a WWII vet who is “looking for any survivors of WWII 384th Air Force Bomb Group.”,outdated,inboxer-rebellion ,,,https://www.snopes.com/fact-check/survivors-384th-af-squadron/
post-173198,28 November 2018,Did a Man Die of E. Coli After Sex with His Girlfriend?,A New York man died after contracting an E. coli infection from performing analingus on his girlfriend.,false,junk-news ,,huzlers ,https://www.snopes.com/fact-check/ecoli-girlfriend-death/
post-173243,28 November 2018,Did TBS Cancel Their ‘Christmas Story’ Marathon Due to Its Bullying Scene?,"TBS canceled a planned marathon of ""A Christmas Story"" due to the film's bullying scene.",false,junk-news ,,christmas ,https://www.snopes.com/fact-check/christmas-story-marathon-tbs/
post-173351,29 November 2018,Do These Photographs Show a Guitar Graveyard?,A photograph shows a 'graveyard' of guitars confiscated from street musicians in Brazil. ,miscaptioned,photos ,,guitar-graveyard ,https://www.snopes.com/fact-check/guitar-graveyard-photos/
post-173380,30 November 2018,Did a Male Rapist Who Identifies as Female Transfer to a Women’s Jail and Assault Female Inmates?,"Transgender prisoner Karen White (formerly Stephen Wood) of West Yorkshire, England, who confessed to committing multiple rapes as a man, sexually assaulted female inmates after being transferred to a women's jail.",true,crime-politics politics ,,rape transgenderism ,https://www.snopes.com/fact-check/male-rapist-transfer-womens-jail/
post-173410,29 November 2018,Does This Photograph Show a Border Patrol Agent Injured by a Thrown Rock?,A photograph shows a U.S. Border Patrol agent who was injured by a thrown rock in November 2018. ,miscaptioned,photos ,,border-patrol ,https://www.snopes.com/fact-check/border-patrol-rock-injury/
post-173460,29 November 2018,Did a Biology Student Cross a Marijuana Plant with Strawberries?,A student at the University of Miami created a hybrid marijuana-strawberry plant. ,false,junk-news ,,hybrid-plants marijuana there-is-news ,https://www.snopes.com/fact-check/marijuana-strawberry-cross/
post-173509,30 November 2018,"Are ‘One-Third’ of Caravan Migrants Sick with HIV, Tuberculosis, and Chicken Pox?","One-third of the caravan migrants have HIV/AIDS, tuberculosis, or chicken pox.",mostly-false,immigration politics ,,daily-wire honduran-caravan ,https://www.snopes.com/fact-check/caravan-members-sick/
post-173514,3 December 2018,Is This a Photograph of the ‘Organizer’ of the Immigrant Caravan?,An organizer of the immigrant caravan was photographed after robbing a convenience store and killing a Mexican national.,false,photos ,,honduran-caravan ,https://www.snopes.com/fact-check/caravan-organizer-photo/
post-173571,4 December 2018,"Did President Donald Trump Overturn Farm Water Regulations, Causing an E. Coli Outbreak?",An autumn 2018 outbreak of E. coli linked to romaine lettuce was caused by a decision by President Trump to reverse existing rules on agricultural water inspection.,mostly-false,politicians politics ,,donald-trump ,https://www.snopes.com/fact-check/trump-farm-water-e-coli/
post-173604,30 November 2018,"Has It Been 10,316 Days Since the Berlin Wall Was Torn Down?","The Berlin Wall existed for 10,316 days and was torn down 10,316 days ago. ",outdated,photos ,,berlin-wall ,https://www.snopes.com/fact-check/berlin-wall-torn-down/
post-173617,30 November 2018,Did Minneapolis Launch a ‘Sharia’ Hotline to Report Anyone Who Criticizes Islam?,"Minneapolis set up a ""Sharia"" telephone hotline inviting residents to report on those who criticize Islam. ",mostly-false,junk-news ,,news-punch your-news-wire ,https://www.snopes.com/fact-check/minneapolis-sharia-hotline-islam/
post-173628,30 November 2018,Did a Man Start Crashing His Car After Receiving a Woman’s Brain in a Transplant?,A man got into five separate auto accidents shortly after receiving a woman's brain in a transplant.,false,junk-news ,,world-news-daily-report ,https://www.snopes.com/fact-check/car-crash-brain-transplant/
post-173629,5 December 2018,Did Walt Disney’s Will Require His Company’s Movies to Be Remade Every 10 Years?,Walt Disney put a clause in his will requiring that the Walt Disney company remake classic movies every ten years. ,false,disney ,,walt-disney ,https://www.snopes.com/fact-check/disney-remakes-ten-years/
post-173662,3 December 2018,Do These 8 Teas Contain “Illegal Amounts of Deadly Pesticides”?,Testing has revealed that eight popular tea brands contain illegal amounts of deadly pesticides.,outdated,food ,,chemophobia food-contamination ,https://www.snopes.com/fact-check/tea-and-pesticides/
post-173804,1 December 2018,Will Looking at This Image Reveal How Stressed You Are?,The amount of movement you see within a static image is indicative of your current stress level.,false,science ,,optical-illusions ,https://www.snopes.com/fact-check/stress-image-measure/
post-173904,3 December 2018,Does This Video Show a Kinetic Water Sculpture in Japan?,A video shows a stunning water sculpture in Japan.,false,photos ,,digital-art ,https://www.snopes.com/fact-check/water-sculpture-japan/
post-173909,3 December 2018,Did Hal Lundgren Write an Open Letter to Lebron James?,Freelance reporter Hal Lundgren wrote a letter to Lebron James criticizing the NBA star for comments he made about President Trump. ,unproven,controversy politics ,,lebron-james ,https://www.snopes.com/fact-check/hal-lundgren-letter-lebron-james/
post-173923,4 December 2018,Did George H.W. Bush Say He Would Be ‘Lynched’ If Americans Knew the Truth?,"George H.W. Bush once said: ""If the people were to ever find out what we have done, we would be chased down the streets and lynched.""",false,politics political-quotes ,,george-h-w-bush ,https://www.snopes.com/fact-check/george-h-w-bush-lynched-quote/
post-173926,3 December 2018,Were Immigrants at the U.S.-Mexico Border Photographed with Numbers Written on Their Arms?,Three migrants at the U.S.-Mexico border were photographed with identification numbers written on their forearms.,true,immigration politics ,,honduran-caravan ,https://www.snopes.com/fact-check/immigrants-numbers-arms/
post-173953,3 December 2018,Was Jasper Smith Caught Selling ‘Energy Drinks’ Laced with Meth?,Jasper Smith was arrested in North Carolina for selling energy drinks laced with methamphetamine. ,false,junk-news ,,jasper-smith stuppid ,https://www.snopes.com/fact-check/energy-drink-meth-arrest/
post-173962,3 December 2018,Is the “Headless Chicken of the Deep Sea” a Real Creature?,A video shows a sea cucumber that resembles a headless chicken. ,true,photos ,,,https://www.snopes.com/fact-check/headless-chicken-deep-sea/
post-173983,5 December 2018,Did Mexican Authorities Arrest and Torture a U.S. Marine for Accidentally Crossing the Border?,"In 2014, Mexican authorities arrested and tortured a U.S. Marine for ""accidentally crossing the border,"" tying him to a bed for nine months in the process. ",mixture,crime-politics politics ,,mexico ,https://www.snopes.com/fact-check/mexico-marine-torture-border-tahmooressi/
post-173994,3 December 2018,Does This Video Show Eminem’s Daughter Rapping?,A video shows Eminem's daughter Hailie rapping. ,false,photos ,,eminem ,https://www.snopes.com/fact-check/eminems-daughter-rapping-video/
post-174062,4 December 2018,Was It Illegal to Profit from Healthcare Prior to the HMO Act of 1973?,"Before the 1973 HMO act was signed into law by Richard Nixon, it was illegal to profit from healthcare.",false,medical-politics politics ,,,https://www.snopes.com/fact-check/healthcare-profit-1973-hmo-act/
post-174099,4 December 2018,Did Netflix Announce They Will Be Removing ‘Friends’ from Their Streaming Catalog?,Netflix announced that 'Friends' would no longer be available for customers to stream after the end of 2018. ,mixture,viral-phenomena ,,cancelled netflix tv ,https://www.snopes.com/fact-check/netflix-friends/
post-174115,4 December 2018,Did Smirnoff Troll President Trump in a Vodka Advertisement?,A photograph shows an advertisement for Smirnoff vodka containing an apparent dig at President Trump. ,true,business-politics politics ,,donald-trump ,https://www.snopes.com/fact-check/smirnoff-trump-vodka-ad/
post-174129,4 December 2018,Did a Retired Army General Call President Trump a ‘Serious Threat to U.S. National Security’?,"Retired U.S. Army General Barry McCaffrey opined that President Trump poses a ""serious threat to U.S. national security.""",correct-attribution,politics political-quotes ,,donald-trump russia-investigation vladimir-putin ,https://www.snopes.com/fact-check/retired-general-trump-threat-national-security/
post-174130,4 December 2018,Did a School Accidentally Give Students Pine-Sol Instead of Apple Juice?,"Students at a school in Honolulu, Hawaii were accidentally given Pine-Sol fluid instead of apple juice. ",true,controversy politics ,,,https://www.snopes.com/fact-check/pine-sol-instead-of-apple-juice/
post-174152,4 December 2018,Did Fox News Display a ‘Treason for the Season’ Graphic?,"Fox aired a holiday graphic reading ""Reason for the Season,"" which some viewers read as ""Treason for the Season"" due the placement of a cross.",true,photos ,,christmas donald-trump fox-news ,https://www.snopes.com/fact-check/fox-treason-for-the-season/
post-174165,6 December 2018,Did 33 Republicans Who Voted to Repeal Obamacare Lose Their Congressional Seats?,The Congressional seats of almost three dozen Republicans who voted to repeal Obamacare were lost to Democrats in 2018.,true,ballot-box politics ,,2018-midterms obamacare ,https://www.snopes.com/fact-check/gop-obamacare-repeal-election/
post-174176,5 December 2018,Is This a Prescription Written for Elvis One Day Before He Died?,"A photograph shows a prescription for several stimulants, sedatives, and narcotic painkillers issued to singer Elvis Presley the day before he died.",false,photos ,,,https://www.snopes.com/fact-check/prescription-for-elvis-presley/
post-174222,5 December 2018,Winston Churchill on Caring What Other People Think of You,"Winston Churchill once said: “When you’re 20 you care what everybody thinks, when you're 40 you stop caring what everyone thinks, when you're 60 you realize no one was ever thinking about you in the first place.” ",misattributed,quotes ,,winston-churchill ,https://www.snopes.com/fact-check/churchill-what-people-think/
post-174280,5 December 2018,Is This ‘Before and After’ Image of an Earthquake-Damaged Alaskan Road Real?,Photographs show a severely earthquake-damaged road in Alaska that was repaired in just a few days. ,true,photos ,,alaska ,https://www.snopes.com/fact-check/alaska-earthquake-road-repair/
post-174325,5 December 2018,Did a Rape Victim Strip the Skin Off Her Attacker’s Genitals with a Potato Peeler?,A female rape victim was arrested after she took revenge on her attacker by stripping the skin off his genitals using a potato peeler. ,false,junk-news ,,abcnews5-com ,https://www.snopes.com/fact-check/victim-attacker-potato-peeler/
post-174335,5 December 2018,Was Paul McCartney’s Song “Blackbird” Inspired by the Civil Rights Movement?,"Paul McCartney wrote the song ""Blackbird"" during a visit to the U.S., inspired by the civil rights movement.",mostly-true,entertainment ,,beatles ,https://www.snopes.com/fact-check/blackbird-civil-rights/
post-174471,6 December 2018,Did President Trump Fail to Place His Hand Over His Heart During George H.W. Bush’s Funeral?,President Trump failed to place his hand over his heart during George H.W. Bush's funeral. ,mostly-false,photos ,,donald-trump george-h-w-bush ,https://www.snopes.com/fact-check/trump-bush-funeral-hand-heart/
post-174478,6 December 2018,Is Indianapolis’ Area Code a Tribute to the Survivors of a Naval Tragedy?,The city of Indianapolis was assigned the 317 area code as a tribute to the number of survivors of the sinking of the USS Indianapolis.,legend,military ,,,https://www.snopes.com/fact-check/indianapolis-area-code/
post-174490,7 December 2018,Did Facebook ‘Censor’ an Image of Santa Kneeling Before Baby Jesus?,"Facebook ""censored"" an image of Santa Claus kneeling before baby Jesus.",mixture,politics religion-politics ,,war-on-christmas ,https://www.snopes.com/fact-check/facebook-santa-jesus-image/
post-174492,7 December 2018,Did Police in Paris Confiscate ‘Baguette Knives’ from Fuel Tax Protesters?,Photographs showed knives disguised as baguettes seized from fuel tax protesters by Paris police.,miscaptioned,photos ,,,https://www.snopes.com/fact-check/baguette-knives-paris-protests/
post-174511,6 December 2018,How Are These Migrants Paying for their Mobile Phones?,A photograph of Central American asylum seekers using mobile phones calls into question how they pay for those services.,miscaptioned,immigration politics ,,honduran-caravan ,https://www.snopes.com/fact-check/migrants-mobile-phone-pay/
post-174513,6 December 2018,Did a Texas Man Confess to Kidnapping 79 People While Disguised as an Alien?,Arnold White admitted he had kidnapped and sexually assaulted 79 people while he was disguised as an alien. ,false,junk-news ,,world-news-daily-report ,https://www.snopes.com/fact-check/texas-alien-anal-probe/
post-174529,6 December 2018,Did a Man Sue Dyson After Being Partially Emasculated by a Vacuum Cleaner?,A Boston man sued appliance manufacturer Dyson Ltd. for $2.3 million after being partially emasculated by a vacuum cleaner.,false,junk-news ,,world-news-daily-report ,https://www.snopes.com/fact-check/man-sues-dyson-partially-emasculated/
post-174542,6 December 2018,"Did the Bush, Clinton, and Obama Funeral Party Trash Air Force One?","Former presidents Bush, Obama, and Clinton trashed Air Force One after the funeral of George H.W. Bush.",false,junk-news ,,last-line-of-defense ,https://www.snopes.com/fact-check/funeral-party-air-force-one/
post-174576,6 December 2018,Were Two Altar Boys Arrested for Putting Marijuana in a Cathedral’s Censer?,Two altar boys in Spain were arrested for putting marijuana in a censer.,false,junk-news ,,,https://www.snopes.com/fact-check/marijuana-censer-arrest/
post-174605,7 December 2018,Did Alexandria Ocasio-Cortez Declare ‘I Have a Very Good Brain’?,"U.S. Representative-Elect Alexandria Ocasio-Cortez once said, ""I have a very good brain.""",misattributed,politics political-quotes ,,alexandria-ocasio-cortez donald-trump ,https://www.snopes.com/fact-check/ocasio-cortez-i-have-a-very-good-brain-trump/
post-174610,7 December 2018,Did a Principal Ban Candy Canes Because They Are Shaped Like J’s for ‘Jesus’?,An elementary school principal in Nebraska banned candy canes from schoolrooms because they supposedly represent Jesus.,true,politics religion-politics ,,candy-canes liberty-counsel war-on-christmas ,https://www.snopes.com/fact-check/candy-can-ban-school/
post-174614,7 December 2018,Did Kid Rock and Ted Nugent Raise More Than $10 Million to Fight the War on Christmas?,Entertainers Kid Rock and Ted Nugent have raised more than $10 million to fight the War on Christmas.,false,junk-news ,,kid-rock last-line-of-defense ted-nugent war-on-christmas ,https://www.snopes.com/fact-check/kid-rock-ted-nugent-war-on-christmas/
